code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages
167675,루키스,1,"이 영화는 10대 여성이 좋아하는 연출, 연기가 뛰어난 영화입니다.",1,0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[100, 24]","[0, 0, 100, 0, 0]"
151241,머니백,64,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,6.69,8.12,"[4.75, 6.96, 7.3, 7.8, 9.0]","[61, 39]","[6, 42, 31, 8, 12]"
154667,덕구,265,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.12,9.4,"[10.0, 9.23, 9.46, 9.14, 9.08]","[36, 64]","[3, 47, 29, 16, 5]"
164269,토이무비: 미래대모험,8,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,6.33,8,"[0.0, 0.0, 8.0, 6.33, 0.0]","[38, 62]","[0, 0, 62, 38, 0]"
159366,호랑이보다 무서운 겨울손님,61,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.56,8.18,"[7.5, 7.36, 7.67, 9.12, 8.5]","[26, 74]","[3, 41, 39, 13, 3]"
162874,원더스트럭,32,"이 영화는 30대 여성이 좋아하는 영상미, 연출이 뛰어난 영화입니다.",7.78,7,"[0.0, 6.08, 8.0, 8.6, 6.33]","[28, 72]","[0, 38, 38, 16, 9]"
158180,그것만이 내 세상,5432,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.2,9.15,"[9.22, 9.15, 9.15, 9.2, 9.25]","[45, 55]","[3, 47, 25, 19, 7]"
167638,완벽한 타인,9479,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.21,8.98,"[9.32, 9.21, 9.01, 8.81, 8.74]","[42, 58]","[4, 52, 24, 14, 6]"
180209,기방도령,159,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.47,7.46,"[10.0, 7.12, 7.69, 6.24, 6.81]","[37, 63]","[1, 33, 32, 24, 10]"
161834,해피뻐스데이,2,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9,10,"[0.0, 10.0, 9.0, 0.0, 0.0]","[50, 50]","[0, 50, 50, 0, 0]"
172454,곤지암,2457,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,7.62,7.37,"[7.78, 7.71, 7.26, 6.71, 7.25]","[54, 46]","[5, 61, 22, 9, 3]"
158112,골든슬럼버,926,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.05,6.42,"[5.98, 6.01, 6.55, 6.46, 7.1]","[43, 57]","[6, 52, 21, 16, 6]"
167651,극한직업,15986,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.16,9.24,"[9.42, 9.32, 9.22, 9.09, 8.82]","[45, 55]","[2, 38, 30, 21, 8]"
164192,국가부도의 날,2927,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.57,8.88,"[9.19, 8.93, 8.61, 8.4, 8.06]","[55, 45]","[2, 50, 26, 15, 7]"
171744,팩트 살인,,,,,[],[],[]
143422,소통과 거짓말,4,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,7,9,"[8.0, 8.0, 10.0, 0.0, 0.0]","[25, 75]","[25, 50, 25, 0, 0]"
130811,클로버,4,이 영화는 20대 여성이 좋아하는 OST가 뛰어난 영화입니다.,0,8.5,"[10.0, 10.0, 0.0, 4.0, 0.0]","[100, 9]","[50, 25, 0, 25, 0]"
195980,대인물,,,,,[],[],[]
168749,죄 많은 소녀,174,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.19,8.48,"[8.24, 8.42, 8.16, 8.43, 9.33]","[41, 59]","[10, 63, 21, 4, 2]"
142210,역모 - 반란의 시대,18,이 영화는 20대 여성이 좋아하는 연출이 뛰어난 영화입니다.,5.67,7.17,"[0.0, 5.71, 6.67, 7.0, 8.33]","[33, 67]","[0, 39, 17, 28, 17]"
