,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
282,191518.0,,,,,,,,,,
283,185131.0,2.82,6.89,2.83,6.93,2.87,7.04,2.86,7.01,2.9,7.1
284,171540.0,,,,,,,,,,
285,191916.0,,,,,,,,,,
286,172113.0,5.13,3.87,5.2,3.93,5.23,3.95,5.13,3.87,5.13,3.87
287,175318.0,6.2,3.05,5.57,2.74,5.39,2.66,5.86,2.89,6.2,3.05
288,192361.0,,,,,,,,,,
289,140648.0,,,,,,,,,,
290,191686.0,,,,,,,,,,
291,30775.0,,,,,,,,,,
292,146534.0,4.87,4.87,4.77,4.77,4.84,4.84,4.79,4.79,4.76,4.76
293,165022.0,5.6,4.4,5.16,4.05,5.07,3.99,4.9,3.85,5.1,4.01
294,154419.0,2.9,7.1,2.28,5.59,2.31,5.67,2.32,5.68,2.23,5.47
295,34090.0,,,,,,,,,,
296,193864.0,,,,,,,,,,
297,191923.0,,,,,,,,,,
298,182387.0,2.41,7.24,2.35,7.05,2.27,6.8,2.15,6.43,2.06,6.2
299,189053.0,5.33,4.36,4.8,3.93,4.85,3.97,4.8,3.92,4.68,3.83
300,190026.0,1.76,6.24,2.18,7.75,2.08,7.37,2.2,7.8,2.2,7.8
301,187318.0,,,,,,,,,,
302,191641.0,,,,,,,,,,
303,191913.0,,,,,,,,,,
304,182046.0,,,,,,,,,,
305,173653.0,4.42,5.18,4.53,5.31,4.52,5.31,4.51,5.3,4.49,5.27
306,179430.0,3.36,3.64,3.81,4.13,4.32,4.68,3.84,4.16,0.0,0.0
307,132946.0,3.6,6.4,3.1,5.5,3.18,5.64,3.1,5.51,3.48,6.19
308,19302.0,,,,,,,,,,
309,,,,,,,,,,,
310,57412.0,,,,,,,,,,
311,103774.0,,,,,,,,,,
312,18782.0,,,,,,,,,,
313,189112.0,,,,,,,,,,
314,191932.0,,,,,,,,,,
315,164172.0,3.84,5.3,3.71,5.13,3.65,5.05,3.57,4.92,3.62,5.01
