,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
343,154298.0,0.0,0.0,35.2,8.8,24.8,6.2,9.6,2.4,9.6,2.4
344,142266.0,1.64,2.36,17.63,25.37,6.56,9.44,9.02,12.98,6.15,8.85
345,206634.0,,,,,,,,,,
346,189670.0,,,,,,,,,,
347,191613.0,,,,,,,,,,
348,172392.0,,,,,,,,,,
349,201959.0,,,,,,,,,,
350,179158.0,1.52,2.48,15.58,25.42,11.4,18.6,6.84,11.16,3.04,4.96
351,187526.0,0.4,0.6,12.4,18.6,13.2,19.8,8.8,13.2,4.8,7.2
352,192608.0,,,,,,,,,,
353,184915.0,,,,,,,,,,
354,188990.0,,,,,,,,,,
355,142699.0,2.0,2.0,30.5,30.5,10.0,10.0,5.0,5.0,2.5,2.5
356,104283.0,,,,,,,,,,
357,179976.0,,,,,,,,,,
358,182084.0,,,,,,,,,,
359,188045.0,,,,,,,,,,
360,196950.0,,,,,,,,,,
361,190004.0,,,,,,,,,,
362,203220.0,,,,,,,,,,
363,192611.0,,,,,,,,,,
364,174301.0,0.98,1.02,24.5,25.5,17.64,18.36,4.9,5.1,1.47,1.53
365,189337.0,,,,,,,,,,
366,150637.0,1.68,1.32,23.52,18.48,14.56,11.44,11.76,9.24,5.04,3.96
367,140696.0,2.94,3.06,26.46,27.54,11.27,11.73,6.86,7.14,1.47,1.53
368,181912.0,3.84,8.16,16.64,35.36,6.4,13.6,2.88,6.12,2.24,4.76
369,168086.0,0.0,0.0,0.84,3.16,11.34,42.66,8.82,33.18,0.0,0.0
370,179975.0,,,,,,,,,,
371,168044.0,,,,,,,,,,
372,99470.0,,,,,,,,,,
373,171750.0,12.04,1.96,36.98,6.02,12.04,1.96,24.94,4.06,0.0,0.0
374,167374.0,1.6,2.4,19.2,28.8,14.4,21.6,1.6,2.4,3.2,4.8
375,192483.0,,,,,,,,,,
376,169241.0,,,,,,,,,,
