,code,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
535,,,,,,
536,,,,,,
537,164106.0,0.26,3.96,1.93,1.41,0.59
538,,,,,,
539,152680.0,0.18,2.86,3.29,1.77,0.85
540,167602.0,0.0,6.24,1.56,0.0,0.4
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,152344.0,0.1,2.65,2.05,1.67,0.79
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,173833.0,0.0,4.97,2.0,0.64,0.48
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,157297.0,0.07,3.07,2.13,1.23,0.69
578,172420.0,0.64,4.59,1.92,0.56,0.18
579,,,,,,
580,152669.0,0.0,0.0,3.5,0.0,4.0
581,154437.0,0.09,3.54,2.87,1.57,1.11
582,,,,,,
583,,,,,,
584,163744.0,0.0,10.0,0.0,0.0,0.0
585,140010.0,0.32,4.7,1.61,1.35,0.48
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,153687.0,0.23,3.2,1.96,1.67,0.81
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,173884.0,0.0,5.6,2.66,1.12,0.0
597,,,,,,
598,167697.0,0.45,3.36,2.33,1.98,0.5
599,,,,,,
600,176622.0,0.0,0.0,8.0,0.0,0.0
601,,,,,,
602,172980.0,0.0,0.0,4.75,4.75,0.0
603,,,,,,
604,,,,,,
605,143416.0,0.93,5.72,1.39,0.51,0.25
606,,,,,,
607,156417.0,2.13,5.07,0.67,0.54,0.0
608,153279.0,0.18,0.67,4.71,3.03,0.08
609,,,,,,
610,178097.0,0.09,3.28,3.05,1.39,1.28
611,,,,,,
612,,,,,,
613,165321.0,0.25,2.55,3.26,0.99,0.81
614,,,,,,
615,,,,,,
616,,,,,,
617,158652.0,0.0,6.53,1.7,1.36,0.0
618,,,,,,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,155715.0,0.67,3.33,1.72,0.96,0.43
629,159830.0,0.78,4.64,1.89,0.8,0.26
630,,,,,,
631,,,,,,
632,,,,,,
633,168059.0,0.0,4.0,3.6,2.0,0.0
634,,,,,,
635,,,,,,
636,,,,,,
637,195681.0,0.0,9.0,0.0,0.0,0.0
638,,,,,,
639,168479.0,0.0,0.0,0.0,10.0,0.0
640,,,,,,
641,,,,,,
642,,,,,,
643,,,,,,
644,,,,,,
645,142324.0,0.19,4.5,2.4,0.4,0.0
646,156091.0,0.0,4.73,2.91,0.71,0.37
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,157500.0,0.17,0.54,4.51,2.85,0.1
652,133129.0,0.17,3.07,2.1,1.86,0.74
653,140731.0,0.19,5.0,2.47,1.07,0.36
654,,,,,,
655,,,,,,
656,,,,,,
657,109906.0,0.28,2.01,1.26,1.23,0.59
658,171490.0,0.07,3.88,2.46,1.02,1.15
659,,,,,,
660,,,,,,
661,,,,,,
662,,,,,,
663,,,,,,
664,,,,,,
665,133424.0,0.1,4.4,2.76,0.76,0.49
666,,,,,,
667,,,,,,
668,57723.0,0.0,3.75,3.74,0.45,1.25
669,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,146407.0,0.27,3.27,2.42,0.99,0.52
681,35939.0,0.7,5.48,1.4,2.1,0.0
682,,,,,,
683,,,,,,
684,121090.0,0.54,4.44,1.45,1.08,0.15
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,158885.0,0.27,5.42,2.44,0.83,0.18
692,,,,,,
693,152656.0,0.35,4.28,1.84,1.66,0.32
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,136893.0,0.7,4.9,1.77,0.95,0.28
700,,,,,,
701,88227.0,0.16,3.24,2.56,1.75,0.57
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,,,,,
707,,,,,,
708,143402.0,0.26,5.23,2.01,0.75,0.16
709,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,149512.0,0.35,4.98,1.83,1.11,0.53
714,,,,,,
715,,,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,151196.0,0.2,3.21,2.56,2.7,0.76
720,158631.0,0.07,4.34,2.32,1.33,0.42
721,,,,,,
722,,,,,,
723,146489.0,0.18,1.66,3.75,3.36,0.27
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,143373.0,0.35,2.38,2.95,0.56,1.19
733,145376.0,0.0,0.61,6.39,1.39,0.05
734,,,,,,
735,143460.0,0.0,3.92,2.54,1.02,0.66
736,,,,,,
737,178456.0,0.67,5.35,1.7,1.0,0.67
738,,,,,,
739,110333.0,0.18,4.46,2.61,1.09,0.33
740,168036.0,0.0,2.97,0.9,1.35,1.44
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,152249.0,0.1,4.26,2.26,1.48,0.78
751,,,,,,
752,185267.0,0.18,3.01,1.96,1.12,0.42
753,181286.0,0.0,6.78,0.6,1.68,0.0
754,165461.0,0.1,2.8,2.79,2.69,1.32
755,152183.0,0.08,2.55,3.5,2.55,0.75
756,164102.0,0.87,5.2,1.85,0.89,0.58
757,160720.0,0.0,0.5,5.82,1.14,0.07
758,152486.0,0.2,4.6,2.53,0.3,0.0
759,155228.0,0.0,3.87,3.33,0.24,0.83
760,156930.0,0.0,0.0,4.0,0.0,4.5
761,147835.0,0.0,0.0,0.0,0.0,7.0
762,,,,,,
763,,,,,,
764,101966.0,0.19,3.8,3.14,1.82,0.18
765,,,,,,
766,,,,,,
767,,,,,,
768,149516.0,0.01,0.53,5.92,1.4,0.09
769,134899.0,0.48,5.08,1.74,1.26,0.54
770,151117.0,0.17,5.23,2.13,0.63,0.17
771,138601.0,0.36,5.13,2.41,0.46,0.34
772,,,,,,
773,161850.0,0.57,4.82,1.92,1.39,0.55
774,,,,,,
775,130787.0,0.38,4.05,1.36,1.09,0.26
776,,,,,,
777,,,,,,
778,,,,,,
779,,,,,,
780,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,,,,,,
785,,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
789,,,,,,
790,,,,,,
791,,,,,,
792,,,,,,
793,,,,,,
794,,,,,,
795,,,,,,
796,,,,,,
797,,,,,,
798,100205.0,0.07,3.69,2.6,0.91,0.72
799,,,,,,
800,,,,,,
801,,,,,,
802,,,,,,
803,,,,,,
804,,,,,,
805,,,,,,
806,127378.0,0.0,0.72,4.8,2.29,0.08
807,,,,,,
808,,,,,,
809,,,,,,
810,,,,,,
811,,,,,,
812,,,,,,
813,,,,,,
814,,,,,,
815,144130.0,0.0,3.16,2.73,1.78,0.51
816,154273.0,0.0,1.77,4.44,1.39,1.02
817,,,,,,
818,,,,,,
819,,,,,,
820,85579.0,0.45,3.94,2.17,1.66,0.42
821,,,,,,
822,,,,,,
823,116233.0,0.24,4.23,1.69,1.32,0.55
824,,,,,,
825,,,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
830,,,,,,
831,,,,,,
832,,,,,,
833,,,,,,
834,,,,,,
835,162854.0,0.1,3.67,2.96,0.92,1.29
836,,,,,,
837,166463.0,0.0,1.53,1.02,5.7,0.0
838,,,,,,
839,,,,,,
840,,,,,,
841,,,,,,
842,,,,,,
843,163832.0,0.0,3.39,3.04,1.15,0.77
844,,,,,,
845,44911.0,0.14,3.9,2.15,0.73,0.31
846,,,,,,
847,,,,,,
848,140647.0,1.23,5.22,0.72,0.39,0.25
849,,,,,,
850,,,,,,
851,153651.0,0.09,2.38,1.82,1.46,0.42
852,,,,,,
853,,,,,,
854,,,,,,
855,,,,,,
856,,,,,,
857,,,,,,
858,,,,,,
859,164719.0,0.25,4.98,2.94,0.46,0.19
860,,,,,,
861,,,,,,
862,152694.0,0.27,4.28,2.82,0.45,0.39
863,,,,,,
864,,,,,,
865,152646.0,0.0,8.0,0.0,0.0,0.0
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,
870,,,,,,
871,,,,,,
872,,,,,,
873,,,,,,
874,,,,,,
875,163824.0,0.0,0.0,4.0,0.0,0.0
876,,,,,,
877,,,,,,
878,144944.0,0.35,6.44,1.07,0.31,0.17
879,,,,,,
880,156565.0,1.7,5.36,0.0,1.53,0.0
881,,,,,,
882,188909.0,0.24,2.6,2.42,1.92,0.85
883,,,,,,
884,143409.0,0.0,4.18,2.98,0.68,0.49
885,,,,,,
886,,,,,,
887,,,,,,
888,154206.0,0.0,4.3,2.59,0.92,0.06
889,,,,,,
890,153964.0,1.93,4.83,0.77,0.96,0.26
891,144379.0,0.28,4.34,2.38,1.27,0.91
892,127374.0,0.15,3.96,2.36,1.29,0.33
893,,,,,,
894,,,,,,
895,,,,,,
896,,,,,,
897,,,,,,
898,137890.0,0.34,4.66,1.97,0.88,0.24
899,,,,,,
900,,,,,,
901,155256.0,0.09,4.31,2.26,0.93,0.24
902,,,,,,
903,,,,,,
904,,,,,,
905,,,,,,
906,168551.0,0.0,4.2,3.38,0.5,0.18
907,,,,,,
908,,,,,,
909,,,,,,
910,,,,,,
911,,,,,,
912,157178.0,1.08,5.84,0.96,0.39,0.18
913,182578.0,0.09,2.54,2.47,1.63,0.52
914,,,,,,
915,,,,,,
916,,,,,,
917,,,,,,
