,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image
112,Chihayafuru,2011-10-05,Series,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chihayafuru,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbJaijlXJUw5C27MsQUQ00CAP6v3TRgXe7SsHra2HIu6TaUTsHIcPcdAGhaJzoVfm6jJkevkyT29AE9hgg1EfXGzxQ.jpg?r=85b
113,Classmates Minus,2021-02-20,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,classmatesminus,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRw4l2R8lyNv7kJe43zlBnOMJG4oYnFwZhkp8zLLpmq2j9qXKaguqqXKBKqL9PbXU6Czs7D_nf94oETiBePiLZyld1e7XbmmvKtKgcppkMMZCSAW1eYROLF8o3Y.jpg?r=233
125,Sisyphus,1974-10-01,Series,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,sisyphus,https://occ-0-1518-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdISy7Xc0oz11VCTLHsycDHNLpiEayUfoRIZu_9ZqBOZsBJDDX1lnuolVYH5tlDZScAfPE9DBUj-JQVUalfJkjXtZTjFgZ0HAAdc9iD0WpQ9oDoHqDc1M6-_lBamZ1hGUou3S7aLYEfzvJ0OmUpW8xCCxVRMI8U7462PfyY.jpg?r=453
127,Behind Her Eyes,2018-05-15,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,behindhereyes,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR2cfpx76O-H1S1L8ykaiDXXmXyz7EAUGMV33sEP-l4k0OHhE4AYux7PIFbSaELKEfOBIwBP5kmdIaM1WR2qmhjRfltq9iDUbU3XhQZ_kNDQ4YjfvZi-uw4MG8M.jpg?r=fee
128,The Manson Family Massacre,2019-08-06,Movie,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,themansonfamilymassacre,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYLl3XDiBH094WzuF1yGrDuVneeXB-uIEQt6q2ipN2_2x3vqf9jlRvYrQXralwnd_O2eVsuS2nL2-4-LTYHIVFixag.jpg?r=bfa
129,Return of the King Huang Feihong,2017-11-13,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,returnofthekinghuangfeihong,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfxv_KurE-kUKxbLp8ztDrmCSAMDZwYRyeIIufYX5Tlr07dxjCUYZJO1ri9Wl0CoiqzbsnTSZX_4nt5uxJ_4riwNSA.jpg?r=e65
130,Ten Years Japan,2018-11-03,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tenyearsjapan,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcYousCi2_wrhqlFf3PwPu9jHZ2OEK9AQBKs3F3MiMwy4hlZus58rn-91qJfbqDD8DzZn5b6oE6HxMHii6VgrohJJQ.jpg?r=368
131,Love at Second Sight,2019-04-03,Movie,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loveatsecondsight,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRwELeWdYwigQnwILFVZBY1OK696I6MonRatAEohhX_9-9IAi7Xp8T6aAEaVYqJRogIbdJqxx5UPhLJ4bP3WlGk_XA.jpg?r=e09
132,Liberation,1971-11-01,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,liberation,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR-jzUPwQNnA4lq9S1x7bcoW8XDjVDme0FkjtpjqSBwAdbNFSu_Sn0pD8bXsEjMWEDouPZBpR3N967yPRUd0BV2NhQ.jpg?r=b0a
133,The King is Invincible,2019-07-28,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thekingisinvincible,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ2LMOyoCzkusGmFNX3HVQ4hzaYLsi6g3xbzkLXnVgVEnUiw2Knnd01r-Wg5Ryz0QbwqNxJgcuDokglHVbAyzrRHWQ.jpg?r=477
134,Amanda,2018-11-21,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amanda,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcrmryJO2BS0umly5Dtsp04opAj8I0LiQoyk9Ob27lqSBg6myhFnYEXyfj94N8ISh5JbBUxQdI--gN_dwtoumb9DLQ.jpg?r=fff
135,Corpus Christi,2020-02-28,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,corpuschristi,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ6FaWCX0FdSNdG5trClN3ineAGxBaUq3y8fvEqWA049E7PGKlKZsBH_HyM0GjOzkx_Z6y-E60C5hxUekXPzjYYaxA.jpg?r=ff6
