code,num_per_ages
163824,"['0%', '0%', '100%', '0%', '0%']"
158861,[]
172824,[]
144944,"['4%', '76%', '13%', '4%', '2%']"
178452,[]
156565,"['17%', '67%', '0%', '17%', '0%']"
187981,[]
188909,"['3%', '34%', '31%', '23%', '10%']"
154236,[]
143409,"['0%', '49%', '36%', '9%', '6%']"
98901,[]
167743,[]
124227,[]
154206,"['0%', '53%', '35%', '10%', '2%']"
134811,[]
153964,"['21%', '56%', '9%', '11%', '3%']"
144379,"['3%', '47%', '26%', '14%', '10%']"
127374,"['2%', '48%', '30%', '16%', '4%']"
172475,[]
169651,[]
158854,[]
65722,[]
167311,[]
137890,"['4%', '56%', '25%', '11%', '3%']"
156461,[]
172074,[]
155256,"['1%', '55%', '29%', '12%', '3%']"
181949,[]
167061,[]
158632,[]
163813,[]
168551,"['0%', '51%', '41%', '6%', '2%']"
168931,[]
159798,[]
151746,[]
171512,[]
159156,[]
157178,"['12%', '69%', '12%', '5%', '2%']"
182578,"['1%', '35%', '33%', '23%', '7%']"
152243,[]
171037,[]
194471,[]
164939,[]
124025,"['5%', '64%', '20%', '9%', '3%']"
125802,"['3%', '57%', '27%', '9%', '4%']"
144272,[]
129406,"['6%', '54%', '20%', '15%', '5%']"
144943,"['5%', '61%', '19%', '11%', '4%']"
160115,[]
40133,[]
149122,[]
144958,"['0%', '17%', '33%', '0%', '50%']"
124205,"['0%', '0%', '25%', '50%', '25%']"
158886,[]
119966,"['4%', '47%', '26%', '15%', '7%']"
45921,[]
97693,[]
129051,"['5%', '59%', '21%', '10%', '4%']"
144188,"['0%', '100%', '0%', '0%', '0%']"
106522,"['9%', '50%', '21%', '18%', '2%']"
140226,[]
107374,"['5%', '52%', '27%', '12%', '5%']"
149027,"['0%', '0%', '0%', '100%', '0%']"
124041,"['3%', '58%', '25%', '11%', '4%']"
142242,"['5%', '73%', '15%', '5%', '3%']"
115366,"['4%', '59%', '24%', '9%', '5%']"
71705,[]
127397,"['1%', '41%', '29%', '25%', '4%']"
103760,"['1%', '49%', '29%', '15%', '5%']"
132627,"['2%', '16%', '48%', '32%', '2%']"
151751,"['0%', '44%', '44%', '11%', '0%']"
147035,[]
160116,[]
167577,[]
154252,[]
156561,[]
121052,"['1%', '6%', '63%', '30%', '1%']"
140064,"['0%', '50%', '33%', '17%', '0%']"
165791,"['0%', '50%', '50%', '0%', '0%']"
172774,[]
158697,[]
125448,[]
143431,[]
167650,[]
73583,[]
89745,[]
33536,[]
51172,[]
83404,[]
150198,"['10%', '55%', '16%', '16%', '3%']"
165762,[]
166524,[]
158871,[]
167103,"['2%', '7%', '76%', '15%', '0%']"
191597,"['1%', '31%', '37%', '23%', '7%']"
146517,"['1%', '55%', '24%', '13%', '6%']"
140792,[]
158889,[]
170497,[]
158910,"['2%', '33%', '30%', '19%', '16%']"
137875,"['5%', '63%', '18%', '11%', '3%']"
113343,[]
18898,[]
147056,[]
140288,[]
